entry_time,exit_time,direction,entry_price,exit_price,size,pnl,reason
2025-07-10 11:45:00,2025-07-10 12:10:00,-1,555.334461,554.555961,3.6014332631160086,2.803715795335842,target
2025-07-14 13:20:00,2025-07-14 13:45:00,-1,556.7543189999999,556.3254539999999,3.598728134142543,1.543368541248946,target
2025-07-15 13:00:00,2025-07-15 13:35:00,1,557.8857830000001,558.661958,3.5933774076353715,2.789089709371264,target
2025-07-16 10:00:00,2025-07-16 10:30:00,1,554.835478,555.9260005,3.619581709754891,3.9472352950762506,target
2025-07-16 15:00:00,2025-07-16 15:35:00,-1,557.2142729999999,557.551303,3.6147078714224983,-1.2182649939056223,stop
2025-07-17 10:05:00,2025-07-17 10:10:00,-1,559.684026,559.014711,3.590830174406752,2.403396498182995,target
2025-07-21 12:25:00,2025-07-21 12:30:00,1,564.6264570000001,565.0879395000001,3.5643690739957994,1.6448939511902245,target
2025-07-21 15:15:00,2025-07-21 15:25:00,1,564.916486,564.647031,3.5648222693097327,-0.9605591845768311,stop
2025-07-22 10:05:00,2025-07-22 10:15:00,1,559.235918,560.5494679999999,3.5940212109620724,4.7209265616591,target
2025-07-23 10:05:00,2025-07-23 10:30:00,1,559.935988,560.716048,3.602818264196236,2.810414415169091,target
2025-07-23 12:00:00,2025-07-23 12:15:00,-1,562.153779,561.3036615,3.5950455350003128,3.0562111226006654,target
2025-07-23 13:50:00,2025-07-23 14:05:00,-1,562.313763,562.708753,3.6013361021410812,-1.4224917469847311,stop
2025-07-23 14:25:00,2025-07-23 15:30:00,-1,563.4236520000001,562.8634020000001,3.58564264165597,2.0088562899877442,target
2025-07-24 13:15:00,2025-07-24 13:40:00,-1,565.9434,565.415025,3.5732435160631075,1.8880125427997827,target
2025-07-25 12:30:00,2025-07-25 13:15:00,-1,567.34326,566.8602975,3.5675573366189446,1.7229964101867739,target
2025-07-28 10:00:00,2025-07-28 10:20:00,-1,568.803114,568.124499,3.5609432377592127,2.416509495292097,target
2025-07-28 11:25:00,2025-07-28 11:45:00,1,567.716766,568.04319,3.572747438297897,1.1662305097988617,exit
2025-07-29 11:30:00,2025-07-29 11:40:00,1,567.5967539999999,567.013254,3.5740885904094952,-2.0854806925037908,stop
2025-07-30 14:35:00,2025-07-30 14:40:00,-1,570.1529790000001,569.5375515000001,3.5472411712854646,2.18306976594132,target
2025-07-30 15:10:00,2025-07-30 15:25:00,1,566.476642,565.622342,3.574439103831116,-3.0536433264028027,stop
2025-07-31 11:15:00,2025-07-31 11:35:00,1,568.7468690000001,570.2187140000001,3.545916617466133,5.219039643834548,target
2025-07-31 13:35:00,2025-07-31 13:45:00,1,567.386733,568.2523755000001,3.5692886974969205,3.0897279913231044,target
2025-08-01 13:05:00,2025-08-01 13:35:00,1,553.625357,552.815887,3.6655591792000406,-2.9671601887871777,stop
2025-08-05 10:50:00,2025-08-05 12:10:00,1,560.396034,561.1338810000001,3.607113659215645,2.6614979921116526,exit
2025-08-05 13:55:00,2025-08-05 14:15:00,-1,562.7437199999999,561.9938024999999,3.597970288848179,2.69818088408744,target
2025-08-05 14:55:00,2025-08-05 15:20:00,1,560.286023,561.0589205,3.6198146362899246,2.7977456828518887,target
2025-08-06 10:10:00,2025-08-06 10:20:00,-1,563.673627,561.9786945000001,3.6044387046154585,6.109280304710411,target
2025-08-06 14:35:00,2025-08-06 15:25:00,-1,567.303264,567.668644,3.5993898292451885,-1.31514505580946,stop
2025-08-07 10:00:00,2025-08-07 10:10:00,-1,572.862708,571.5487605,3.556376213666153,4.672891635006251,target
2025-08-07 11:50:00,2025-08-07 12:40:00,1,568.766871,567.8889360000001,3.594901876233912,-3.156090178711346,stop
2025-08-07 14:25:00,2025-08-07 14:50:00,1,565.296524,566.5169689999999,3.60226681906887,4.396368527998244,target
2025-08-08 11:45:00,2025-08-08 11:50:00,1,572.35723,573.2155375,3.56969658336659,3.0638973502280034,target
2025-08-08 13:30:00,2025-08-08 13:40:00,1,573.3323275,573.9195625000001,3.570825060613073,2.096913454469396,target
